drug1,drug2,severity,risk_score,description,recommendation
Carbamazepine,Warfarin,High,83,Carbamazepine is a potent CYP2C9 inducer that significantly reduces warfarin plasma levels making anticoagulation inadequate and predisposing to thromboembolic events.,Monitor INR closely when carbamazepine is started or stopped. Warfarin dose increases of 50-100% are often required. Be alert to INR falling when carbamazepine is added.
Phenytoin,Warfarin,High,81,Phenytoin induces CYP2C9 reducing warfarin levels and reducing anticoagulation efficacy. However at initiation phenytoin may transiently displace warfarin and raise INR.,Monitor INR closely throughout phenytoin therapy. Expect need to increase warfarin dose. Be vigilant for both under- and over-anticoagulation.
Rifampicin,Warfarin,High,94,Rifampicin is one of the most potent CYP inducers known. It can reduce warfarin levels by 80-90% virtually abolishing anticoagulation in standard doses.,If rifampicin is essential dramatically increase warfarin dose (often 3-5 fold) and monitor INR every few days. When rifampicin is stopped reduce warfarin dose immediately to avoid haemorrhage.
Amiodarone,Warfarin,High,93,Amiodarone inhibits CYP2C9 substantially increasing warfarin levels. Due to amiodarone's extremely long half-life (weeks to months) the interaction is prolonged and cumulative.,Reduce warfarin dose by ~30-50% when amiodarone is commenced. Monitor INR very closely for months. Even after stopping amiodarone monitor INR for 1-3 months.
Metformin,Contrast Media (Iodinated),Moderate,65,Iodinated contrast media can cause acute kidney injury. Reduced renal clearance then allows metformin accumulation creating risk of lactic acidosis.,Withhold metformin for 48 hours before and after procedures involving iodinated contrast media in patients with eGFR <60. Reassess renal function before restarting.
SSRIs,NSAIDs,Moderate,66,SSRIs inhibit platelet serotonin uptake reducing platelet aggregation. NSAIDs inhibit platelet cyclooxygenase. Combined they significantly increase GI bleeding risk.,Co-prescribe a PPI when an SSRI and NSAID must be used together. Consider alternative analgesia. Monitor for GI bleeding symptoms.
Dapagliflozin,Loop Diuretics,Moderate,63,SGLT-2 inhibitors increase urinary glucose and sodium excretion and cause modest volume depletion. Adding a loop diuretic amplifies volume depletion with risk of dehydration hypotension and AKI.,Monitor volume status renal function and blood pressure when combining. Patients should maintain adequate hydration. Consider temporary dose reduction of diuretic.
Insulin Glargine,Alcohol,Moderate,60,Alcohol inhibits hepatic gluconeogenesis and impairs counter-regulatory response to hypoglycaemia. Combined with insulin this prolongs and worsens hypoglycaemic episodes.,Counsel patients to eat when drinking alcohol. Monitor blood glucose closely. Warn about difficulty recognising hypoglycaemia symptoms with alcohol. Avoid heavy alcohol consumption.
Metformin,Cimetidine,Moderate,58,Cimetidine inhibits renal tubular secretion of metformin by competing for the OCT2 transporter increasing metformin plasma levels and risk of lactic acidosis.,Prefer ranitidine or a PPI over cimetidine in patients taking metformin. If cimetidine is required monitor renal function and watch for metformin toxicity signs.
Sitagliptin,Loop Diuretics,Low,35,Loop diuretics can cause electrolyte changes and volume depletion that may modestly affect glycaemic control in diabetic patients though direct pharmacokinetic interaction is minimal.,Monitor blood glucose more closely when initiating or changing loop diuretic therapy. Adjust antidiabetic therapy if glycaemic control deteriorates.
Venlafaxine,Tramadol,High,82,Both venlafaxine (SNRI) and tramadol (weak SNRI plus opioid) inhibit serotonin reuptake. Combination creates significant risk of serotonin syndrome.,Avoid concurrent use. If both are required use the lowest effective doses with close clinical monitoring for serotonin syndrome features. Have a low threshold to discontinue one agent.
Prednisone,Ibuprofen,Moderate,71,Both corticosteroids and NSAIDs damage gastric mucosa and impair its protective mechanisms. Combination dramatically increases risk of peptic ulcer and GI bleeding.,Prescribe a PPI as gastroprotection whenever this combination is required. Use NSAIDs for the shortest possible duration and at the lowest effective dose.
Quetiapine,Clarithromycin,Moderate,69,Clarithromycin inhibits CYP3A4 increasing quetiapine plasma levels. Both drugs independently prolong QTc creating additive risk of serious ventricular arrhythmia (Torsades de Pointes).,Avoid combination or monitor ECG closely if essential. Consider alternative antibiotic. If used together obtain baseline ECG and monitor QTc.
Risperidone,Clarithromycin,Moderate,68,Clarithromycin increases risperidone levels via CYP3A4 inhibition and QT prolongation is additive.,Monitor for QT prolongation with ECG. Consider alternative antibiotic. Monitor for extrapyramidal side effects from elevated risperidone levels.
Digoxin,Furosemide,Moderate,67,Furosemide causes hypokalaemia and hypomagnesaemia which sensitise the myocardium to digoxin toxicity even at therapeutic digoxin levels.,Monitor electrolytes especially potassium and replace as needed. Monitor for signs of digoxin toxicity (nausea; bradycardia; visual disturbances). Maintain K+ >4 mmol/L.
Amlodipine,Simvastatin,Moderate,60,Amlodipine mildly inhibits CYP3A4 increasing simvastatin plasma levels and myopathy risk. FDA advises simvastatin dose not to exceed 20 mg/day when combined with amlodipine.,Limit simvastatin dose to 20 mg/day with amlodipine. Consider switching to rosuvastatin or pravastatin (not CYP3A4-dependent) if higher statin intensity is required.
Fluoxetine,MAOIs,High,98,MAO inhibitors combined with SSRIs cause serotonin syndrome which can be fatal. Serotonin accumulates to dangerous levels in central and peripheral synapses.,This combination is absolutely contraindicated. Allow a 14-day washout after stopping an MAOI before starting fluoxetine. Due to fluoxetine's long half-life allow 5 weeks after stopping fluoxetine before starting an MAOI.
Levothyroxine,Calcium Carbonate,Low,38,Calcium carbonate binds levothyroxine in the GI tract reducing its absorption by up to 25%. This can impair thyroid hormone replacement adequacy and cause hypothyroid symptoms.,Separate administration of levothyroxine and calcium supplements by at least 4 hours. Take levothyroxine on an empty stomach. Monitor TSH when calcium supplementation is started or changed.
Ciprofloxacin,Antacids,Low,32,Divalent cations (Mg2+ Al3+ Ca2+) in antacids chelate ciprofloxacin in the gut reducing its oral bioavailability by up to 90%.,Administer ciprofloxacin at least 2 hours before or 6 hours after antacid products. The same applies to iron and zinc supplements.
Warfarin,Vitamin K,Low,30,Dietary vitamin K is the direct pharmacological antagonist of warfarin. Sudden increases in vitamin K intake (e.g. from green leafy vegetables) reduce anticoagulation effect.,Counsel patients to maintain a consistent dietary vitamin K intake. Avoid dramatic increases or decreases in consumption of green leafy vegetables (spinach; kale; broccoli). Monitor INR when diet changes.
Albuterol,Loop Diuretics,Low,40,Both albuterol (beta-2 agonist) and loop diuretics independently cause hypokalaemia. Concurrent use produces additive potassium depletion which may precipitate arrhythmias.,Monitor serum potassium when high-dose nebulised albuterol is used in combination with loop diuretics. Consider potassium supplementation. Monitor ECG in high-risk patients.
Gabapentin,Opioids,High,80,Gabapentin combined with opioids produces additive CNS and respiratory depression. Multiple studies show this combination significantly increases mortality from respiratory depression.,Avoid concurrent use where possible. If combination is necessary use the lowest effective doses of both. Provide naloxone to patient/caregiver. Counsel on risk; avoid alcohol and other CNS depressants.
Carbamazepine,Oral Contraceptives,High,79,Carbamazepine is a potent CYP3A4 inducer that reduces ethinylestradiol and progestogen plasma levels by up to 50% causing contraceptive failure and unintended pregnancy.,Use additional non-hormonal contraception (e.g. condoms) throughout carbamazepine therapy. Consider long-acting non-hormonal contraception (copper IUD). Counsel all women of childbearing potential on this risk.
Dapagliflozin,Insulin,Moderate,62,SGLT-2 inhibitors combined with insulin increase hypoglycaemia risk. Euglycaemic DKA is also a recognised rare but serious adverse effect of this combination.,Reduce insulin dose by 20% when starting an SGLT-2 inhibitor. Monitor blood glucose closely. Educate patients on DKA symptoms and withhold dapagliflozin perioperatively.
Donepezil,Atropine,Moderate,65,Donepezil (acetylcholinesterase inhibitor) and anticholinergic agents are pharmacodynamic antagonists. Anticholinergics reduce donepezil efficacy for cognition; combination also produces unpredictable cholinergic effects.,Avoid prescribing anticholinergic drugs to patients on donepezil. Conduct regular medication reviews for anticholinergic burden. The Anticholinergic Burden Scale can guide deprescribing.
