drug_name,generic_name,drug_class,uses,common_side_effects,warnings
Valproate,Valproic Acid,Anticonvulsant / Mood Stabilizer,Epilepsy; bipolar disorder; migraine prophylaxis,Weight gain; hair loss; tremor; nausea; thrombocytopenia; elevated liver enzymes,Hepatotoxicity; teratogenic (neural tube defects); pancreatitis; monitor liver function and CBC
Allopurinol,Allopurinol,Xanthine Oxidase Inhibitor,Gout; hyperuricemia; uric acid nephropathy,Rash; nausea; diarrhea; hepatotoxicity; Stevens-Johnson syndrome,HLA-B*5801 screening recommended in certain ethnic groups; potentially fatal hypersensitivity; drug interactions
Colchicine,Colchicine,Anti-gout Agent,Acute gout; familial Mediterranean fever; pericarditis,Diarrhea; nausea; vomiting; abdominal pain; myopathy,Narrow therapeutic margin; potentially fatal in overdose; serious interactions with CYP3A4 inhibitors
Azithromycin,Azithromycin,Macrolide Antibiotic,Respiratory infections; STIs; H. pylori; MAC prophylaxis,Diarrhea; nausea; abdominal pain; elevated liver enzymes,QT prolongation risk; rare but serious cardiac events reported; Clostridium difficile risk
Esomeprazole,Esomeprazole Magnesium,Proton Pump Inhibitor (PPI),GERD; peptic ulcers; NSAID-induced ulcer prevention; Zollinger-Ellison syndrome,Headache; nausea; diarrhea; abdominal pain; hypomagnesemia,Long-term use: hypomagnesemia; bone fractures; B12 deficiency; C. difficile risk; reduces clopidogrel efficacy
Pantoprazole,Pantoprazole Sodium,Proton Pump Inhibitor (PPI),GERD; peptic ulcers; Zollinger-Ellison syndrome; H. pylori eradication,Headache; diarrhea; nausea; flatulence; hypomagnesemia with prolonged use,Long-term use risks (as with all PPIs); monitor magnesium levels; C. difficile association
Rosuvastatin,Rosuvastatin Calcium,HMG-CoA Reductase Inhibitor (Statin),High cholesterol; cardiovascular disease prevention; hypertriglyceridemia,Muscle pain; headache; abdominal pain; nausea; proteinuria at high doses,Risk of myopathy; avoid in active hepatic disease; dose reduction in Asian patients; renal monitoring at high doses
Candesartan,Candesartan Cilexetil,Angiotensin II Receptor Blocker (ARB),Hypertension; heart failure; diabetic nephropathy,Dizziness; fatigue; hyperkalemia; elevated creatinine; upper respiratory symptoms,Contraindicated in pregnancy; monitor potassium and renal function; avoid dual RAAS blockade
Bisoprolol,Bisoprolol Fumarate,Cardioselective Beta Blocker,Hypertension; heart failure; angina; arrhythmia,Fatigue; bradycardia; cold extremities; dizziness; depression,Do not abruptly discontinue; caution in asthma/COPD; may mask hypoglycemia; monitor heart rate
Tamsulosin,Tamsulosin Hydrochloride,Alpha-1 Adrenergic Blocker,Benign prostatic hyperplasia (BPH); ureteral stones,Dizziness; orthostatic hypotension; retrograde ejaculation; nasal congestion,Intraoperative floppy iris syndrome (risk during cataract surgery); orthostatic hypotension; first-dose syncope
Donepezil,Donepezil Hydrochloride,Acetylcholinesterase Inhibitor,Alzheimer's disease (mild to severe); vascular dementia,Nausea; diarrhea; insomnia; muscle cramps; bradycardia; vivid dreams,Bradycardia and syncope risk; GI side effects; use caution in asthma; drug interactions with anticholinergics
Insulin Glargine,Insulin Glargine,Long-Acting Insulin Analog,Type 1 and Type 2 diabetes mellitus (basal insulin),Hypoglycemia; injection site reactions; weight gain; lipodystrophy,Risk of severe hypoglycemia; do not mix with other insulins; monitor blood glucose regularly
Sitagliptin,Sitagliptin Phosphate,DPP-4 Inhibitor,Type 2 diabetes mellitus,Nasopharyngitis; upper respiratory tract infection; headache; rare pancreatitis,Pancreatitis risk; heart failure association; dose adjustment required in renal impairment; hypersensitivity reactions
Dapagliflozin,Dapagliflozin,SGLT-2 Inhibitor,Type 2 diabetes; heart failure; chronic kidney disease,Genital mycotic infections; UTI; increased urination; DKA (rare); volume depletion,Risk of DKA (including euglycemic); hold before surgery; genital infections; Fournier's gangrene (rare)
Levofloxacin,Levofloxacin,Fluoroquinolone Antibiotic,Pneumonia; UTI; sinusitis; skin infections; prostatitis,Nausea; diarrhea; dizziness; headache; insomnia; tendon pain,Tendon rupture risk; QT prolongation; peripheral neuropathy; blood glucose dysregulation; avoid in children
Morphine,Morphine Sulfate,Opioid Analgesic,Moderate-to-severe pain; palliative care; acute pulmonary edema,Constipation; nausea; somnolence; respiratory depression; pruritus; urinary retention,High risk of dependence and abuse; respiratory depression risk; avoid in acute asthma; adjust in renal/hepatic impairment; tolerance develops
